1323,454,3026,1178,2235,2213,2204
4381,8192,6232,8291,8064,7210,8035
1308,1389,920,907,1154,949,462
3818,7012,7069,6701,6996,6327,6313
3829,6064,5725,5975,5557,5271,5384
790,7511,7533,6657,6806,6851,7958
3249,4687,3827,3280,2597,2470,2012
446,4614,5253,4938,5488,6169,6720
855,5065,5256,4600,4558,5132,5367
552,3690,4356,3890,5032,5238,5123
2508,5773,5162,3296,2960,2963,2720
978,4242,4220,4974,6643,6979,6890
424,2824,3644,3341,4695,4478,4483
2461,6381,6587,6870,9840,10391,9497
1666,2870,2604,1670,842,766,1006
6939,8519,8177,9092,12661,13705,11512
3325,3637,4027,4332,7098,8070,6152
10722,10308,7346,9544,10624,10850,11762
433,722,1188,235,784,1247,544
10804,16719,12540,13628,12228,9987,12573
9581,11347,6538,9445,8686,7514,10017
7534,22201,19431,18296,15662,13289,14111
3347,2032,836,2327,2233,1422,2801
5985,17799,17899,14777,13564,12562,10627
6402,17905,17700,14515,13393,11855,11564
4285,12296,13335,10315,9520,9443,7857
2342,5033,4409,4692,4709,4108,4780
3112,8707,9007,7677,7238,6987,6413
2364,7414,7547,6885,6556,6372,5822
1530,4921,5220,4629,4504,4370,3987
993,3162,3199,3243,2990,2890,2877
1164,3986,4315,4049,3957,3888,3638
1240,4451,4640,4007,3676,3673,3428
1040,3700,3607,3505,3344,3243,2943
859,3148,3200,3098,3499,3446,3033
1149,2914,3192,2621,2469,864,2188
1409,4058,4195,3629,3211,1171,2835
1007,1488,2144,1724,1359,1427,1994
1147,3672,3827,3554,3107,2520,2856
464,859,950,1095,1162,1300,1481
739,1023,1252,1353,1339,1498,1624
421,1079,1100,1332,1504,1482,1717
479,1144,1302,1410,1360,1622,1579
281,1196,1207,1446,1633,1466,1809
149,732,684,1012,1124,1197,1378
97,846,950,1110,1200,1549,1804
203,568,656,931,1033,1170,1426
127,1124,958,1417,1321,1370,1801
184,1002,1103,1213,1400,1391,1771
137,1241,1184,1405,1749,1807,1985
115,482,635,822,911,983,1307
219,1225,1204,1617,1895,1864,2100
167,1115,1108,1697,1783,1891,2036
231,1848,1539,2288,2656,2573,2847
240,552,745,849,980,1058,1484
371,2207,1800,2934,3397,3322,3414
302,2215,1799,2846,3260,3254,3307
201,2041,1717,2127,1866,2034,2473
300,1756,1131,2517,2921,2955,2946
419,1173,1957,1269,1340,1510,2259
345,1526,2096,1723,1526,1827,2486
358,637,1194,1066,1189,1413,2335
249,1238,1490,1817,1840,2114,2461
518,670,1031,1188,1490,1749,2882
458,535,866,1059,1237,1453,2389
548,549,826,1083,1308,1664,2858
257,670,844,1193,1318,1468,1988
354,454,710,1162,1458,1831,3291
300,468,638,1042,1159,1504,2532
197,363,698,1168,1445,1919,3528
321,458,642,1099,1266,1422,1559
205,393,694,1404,1822,2359,4345
235,398,722,1374,1496,1949,3632
291,501,564,1720,1953,2704,4949
300,495,725,1167,1241,1362,1694
346,498,577,1748,2399,3094,4830
333,479,593,1560,2085,2646,4174
443,674,733,2293,2968,3728,5076
374,649,821,1349,1451,1578,2538
432,630,742,2540,3168,4065,4899
512,787,823,2330,2943,3655,4374
497,769,884,2994,3722,4277,3906
232,596,707,1138,1411,1939,2827
276,807,865,3212,3795,4091,3520
286,914,1070,2900,3417,3759,3182
326,1006,1104,3503,3525,3213,2707
164,679,875,1272,2015,2404,2263
281,926,1300,3886,3278,2849,2382
369,1115,1298,3914,3441,3117,2344
315,967,1409,3618,2713,2725,1939
269,943,1096,2698,2791,2462,2028
396,1250,1624,2759,1935,2122,1394
461,1157,1332,2650,1872,2108,1444
368,1148,1502,1860,1373,1709,906
411,995,1062,2855,2049,1942,1482
524,1467,1905,1120,1235,1380,399
536,1560,1906,1324,1192,1294,428
632,1745,2087,796,1068,835,187
486,1210,1358,1546,1352,1064,527
1628,3101,3678,1700,2312,1970,725
1442,2641,3507,1559,2312,1991,1024
2267,4442,5514,2283,2793,2468,836
574,1036,1330,1221,1299,1199,724
2837,5609,6092,2206,2629,2063,595
2465,4434,5283,1986,2587,1987,476
3192,6312,6116,2430,2532,1718,431
1313,2095,2961,1330,1703,1482,728
2696,5574,4995,2131,1738,1082,316
2107,4822,4352,1837,1642,1132,393
2314,4993,4059,2322,1845,890,464
1138,2686,2730,1036,981,967,451
1220,2912,2252,2189,1686,848,712
1318,3243,2601,2046,1606,689,687
525,1881,1479,1865,1046,522,560
1251,2731,2579,1391,1243,824,632
842,2173,1706,2077,1272,631,755
1037,2295,1921,2196,1214,514,713
1204,2186,1692,1964,960,533,682
750,1896,1753,1294,1092,661,754
1128,1909,1520,1903,716,588,913
1045,1855,1749,1800,779,726,954
946,1538,1679,1363,585,442,1033
867,1885,1492,1416,837,585,924
854,1732,1997,1119,440,462,1077
713,1653,1782,1110,821,774,1004
764,1578,1988,771,294,383,983
689,1433,1288,1014,518,555,1021
763,1692,2154,561,278,455,1174
558,1435,1809,439,587,780,1019
577,1910,2041,418,353,601,1300
692,1055,1308,591,392,553,1039
425,2291,2234,308,365,660,1460
724,1985,2048,501,527,731,1325
609,2442,2434,212,357,718,1524
354,1027,1188,446,418,694,1110
799,2275,2255,137,394,710,1407
236,2268,2106,408,615,760,1490
772,2215,1943,123,487,800,1633
576,1272,1244,241,451,752,1364
310,1810,1521,190,538,996,1677
187,1818,1432,520,685,1011,1522
428,1343,1164,183,546,973,1576
538,1354,1156,275,594,1009,1618
470,1098,912,283,688,1076,1640
262,1098,804,492,856,1014,1609
348,838,667,345,685,1124,1609
348,862,756,409,754,1052,1683
319,653,479,598,916,1353,1881
204,390,283,614,881,944,1643
197,360,257,615,927,1310,1760
170,414,353,472,626,1019,1446
102,302,189,928,1244,1569,2245
229,194,173,605,1434,1291,2088
155,272,120,1167,1398,1308,2432
113,312,215,708,809,1155,1803
77,145,70,1157,1418,1642,2654
57,220,232,1036,1403,1356,2125
81,93,56,1162,1505,1638,2574
57,152,121,853,1150,1393,1941
44,39,2,1280,1454,1467,2663
88,158,168,1341,1354,1360,2290
61,35,51,1412,1444,1555,2831
168,259,255,1097,1248,1305,2750
71,45,73,1429,1509,1343,2999
74,39,59,838,976,1165,1898
71,43,147,1214,1128,1271,2552
124,193,233,1369,1254,1379,2694
12,64,176,1201,1157,1293,2576
5,12,90,1192,1289,1252,2186
22,141,293,1478,1323,1411,2947
9,76,195,1161,1134,1683,2864
2,145,292,1092,1269,1552,2987
11,29,194,925,716,933,1847
11,210,391,1049,1338,1422,2867
128,112,230,1493,1214,2127,2674
17,85,514,849,1677,1722,3060
