1323,454,3026,1178,2235,2213,2204,2092
1308,1389,920,907,1154,949,462,30
3829,6064,5725,5975,5557,5271,5384,2080
3249,4687,3827,3280,2597,2470,2012,138
855,5065,5256,4600,4558,5132,5367,829
2508,5773,5162,3296,2960,2963,2720,5433
424,2824,3644,3341,4695,4478,4483,2490
1666,2870,2604,1670,842,766,1006,1292
3325,3637,4027,4332,7098,8070,6152,2278
433,722,1188,235,784,1247,544,8003
9581,11347,6538,9445,8686,7514,10017,4896
3347,2032,836,2327,2233,1422,2801,1379
6402,17905,17700,14515,13393,11855,11564,539
2342,5033,4409,4692,4709,4108,4780,9055
2364,7414,7547,6885,6556,6372,5822,5917
993,3162,3199,3243,2990,2890,2877,3464
1240,4451,4640,4007,3676,3673,3428,1435
859,3148,3200,3098,3499,3446,3033,2417
1409,4058,4195,3629,3211,1171,2835,2371
1147,3672,3827,3554,3107,2520,2856,2295
739,1023,1252,1353,1339,1498,1624,2089
479,1144,1302,1410,1360,1622,1579,1835
149,732,684,1012,1124,1197,1378,1664
203,568,656,931,1033,1170,1426,1383
184,1002,1103,1213,1400,1391,1771,1316
115,482,635,822,911,983,1307,1553
167,1115,1108,1697,1783,1891,2036,1783
240,552,745,849,980,1058,1484,1445
302,2215,1799,2846,3260,3254,3307,1656
300,1756,1131,2517,2921,2955,2946,2033
345,1526,2096,1723,1526,1827,2486,3113
249,1238,1490,1817,1840,2114,2461,2717
458,535,866,1059,1237,1453,2389,2531
257,670,844,1193,1318,1468,1988,2499
300,468,638,1042,1159,1504,2532,3190
321,458,642,1099,1266,1422,1559,2225
235,398,722,1374,1496,1949,3632,1267
300,495,725,1167,1241,1362,1694,909
333,479,593,1560,2085,2646,4174,770
374,649,821,1349,1451,1578,2538,3567
512,787,823,2330,2943,3655,4374,2196
232,596,707,1138,1411,1939,2827,1526
286,914,1070,2900,3417,3759,3182,834
164,679,875,1272,2015,2404,2263,2138
369,1115,1298,3914,3441,3117,2344,1430
269,943,1096,2698,2791,2462,2028,989
461,1157,1332,2650,1872,2108,1444,676
411,995,1062,2855,2049,1942,1482,540
536,1560,1906,1324,1192,1294,428,532
486,1210,1358,1546,1352,1064,527,651
1442,2641,3507,1559,2312,1991,1024,967
574,1036,1330,1221,1299,1199,724,350
2465,4434,5283,1986,2587,1987,476,662
1313,2095,2961,1330,1703,1482,728,926
2107,4822,4352,1837,1642,1132,393,960
1138,2686,2730,1036,981,967,451,870
1318,3243,2601,2046,1606,689,687,667
1251,2731,2579,1391,1243,824,632,735
1037,2295,1921,2196,1214,514,713,664
750,1896,1753,1294,1092,661,754,1117
1045,1855,1749,1800,779,726,954,1163
867,1885,1492,1416,837,585,924,1155
713,1653,1782,1110,821,774,1004,1114
689,1433,1288,1014,518,555,1021,1297
558,1435,1809,439,587,780,1019,1266
692,1055,1308,591,392,553,1039,1273
724,1985,2048,501,527,731,1325,1267
354,1027,1188,446,418,694,1110,1439
236,2268,2106,408,615,760,1490,1394
576,1272,1244,241,451,752,1364,1356
187,1818,1432,520,685,1011,1522,1654
538,1354,1156,275,594,1009,1618,1859
262,1098,804,492,856,1014,1609,1804
348,862,756,409,754,1052,1683,1773
204,390,283,614,881,944,1643,2056
170,414,353,472,626,1019,1446,2508
229,194,173,605,1434,1291,2088,2318
113,312,215,708,809,1155,1803,1818
57,220,232,1036,1403,1356,2125,1718
57,152,121,853,1150,1393,1941,1965
88,158,168,1341,1354,1360,2290,3203
168,259,255,1097,1248,1305,2750,2543
74,39,59,838,976,1165,1898,2114
124,193,233,1369,1254,1379,2694,1996
5,12,90,1192,1289,1252,2186,3030
9,76,195,1161,1134,1683,2864,2229
11,29,194,925,716,933,1847,2102
128,112,230,1493,1214,2127,2674,1944
116,154,163,1136,1316,1508,2657,2579
211,384,434,1604,1835,1859,3164,2705
124,278,420,1450,1581,1778,2833,2359
128,460,1184,1712,1790,2553,3337,2489
143,552,633,1495,1321,1867,2519,2146
230,1247,1094,1852,2216,2743,3340,2874
221,965,641,1985,1909,2379,3159,2514
356,1798,1450,2553,2922,3487,3571,2150
347,1017,1045,1990,2031,2453,3063,2174
456,1671,1660,2768,2947,3572,3434,2806
572,1552,1558,2252,2639,2861,2991,2579
654,1860,1736,3093,3324,3784,3674,2434
692,1568,1620,2491,2670,2831,3008,2283
787,1575,1563,3086,3149,3450,3442,3215
878,1400,1591,2636,2502,2950,3052,2469
770,1235,1244,2881,2903,3183,3073,2230
317,1438,1434,2233,2428,2590,2414,2112
333,1302,1173,2311,2714,2468,2662,2532
128,635,681,1514,1671,1761,1604,1683
271,853,964,2130,1928,2309,2210,1205
172,663,922,1425,1512,1651,1742,1101
409,1386,1260,2189,2581,2534,2543,1133
