1323,454,3026,1178,2235,2213,2204,1,7,2092,1690,490,0,27,2043,1358,499,6,46,2450,2634,2006,2909,3179,3012,2871,2816,2950,2787,1748,2456
1308,1389,920,907,1154,949,462,1783,2282,30,6,68,6022,482,6,3,13,776,2332,2090,1893,1582,2346,2303,1712,1552,1559,1974,1735,1463,1309
3829,6064,5725,5975,5557,5271,5384,1216,1369,2080,8,11,3084,2525,944,8,2,671,4961,2337,2064,2427,2296,1498,1278,1361,1714,2102,2375,2161,2124
3249,4687,3827,3280,2597,2470,2012,1909,1828,138,8,14,1239,1096,932,20,7,282,1995,998,917,974,1025,697,522,584,722,854,908,822,733
855,5065,5256,4600,4558,5132,5367,1150,1097,829,1539,20,868,703,2031,703,2,289,1644,707,482,678,589,237,228,225,248,279,385,328,210
2508,5773,5162,3296,2960,2963,2720,758,884,5433,190,50,1277,600,615,770,17,555,2467,1127,719,905,792,354,261,305,289,201,340,216,75
424,2824,3644,3341,4695,4478,4483,1222,1413,2490,1430,952,3704,1952,181,2347,476,1454,5792,7137,7169,6461,9117,10389,8470,7582,6669,6151,5538,4881,4633
1666,2870,2604,1670,842,766,1006,11124,11458,1292,2740,772,11533,10956,730,248,377,1818,7946,8546,8443,7304,8884,9127,7175,7028,6652,5189,4849,3807,3529
3325,3637,4027,4332,7098,8070,6152,7892,8640,2278,991,2391,10646,11171,2987,152,1374,1777,7258,6426,6169,5799,6335,5987,4684,4495,4245,3956,3692,3027,2696
433,722,1188,235,784,1247,544,6568,5361,8003,1501,915,7492,8058,7993,1615,163,931,4149,3873,3510,3049,3908,3874,2776,2860,2811,2472,2249,1830,1644
9581,11347,6538,9445,8686,7514,10017,3427,2866,4896,3514,487,3930,4451,6890,4586,684,2249,9808,7432,6461,6460,6226,5178,3743,3951,3984,3804,3485,2909,2507
3347,2032,836,2327,2233,1422,2801,10579,11598,1379,3526,1978,11801,10452,3616,4387,1982,1876,7876,6302,5511,5494,5412,4423,3360,3443,3533,3403,3134,2698,2321
6402,17905,17700,14515,13393,11855,11564,8045,8359,539,1584,3661,9400,8404,1532,3895,3495,1418,6028,4682,4357,4218,3929,3302,2628,2612,2594,2542,2293,1888,1682
2342,5033,4409,4692,4709,4108,4780,5235,4539,9055,277,1410,6660,6107,7062,1522,602,943,3811,3000,2885,2909,2594,2275,1879,1841,1876,1820,1674,1338,1248
2364,7414,7547,6885,6556,6372,5822,3223,3056,5917,338,612,3716,3517,4817,612,426,573,2886,2374,2221,2238,1920,1612,1298,1363,1372,1252,1144,939,871
993,3162,3199,3243,2990,2890,2877,3110,3047,3464,4824,287,3014,2861,3176,3575,237,543,2596,2241,1970,1996,1837,1459,1117,1193,1198,1041,905,757,715
1240,4451,4640,4007,3676,3673,3428,2690,2854,1435,2753,704,2778,2481,1738,2287,267,489,2317,2016,1766,1721,1565,1324,1004,1062,1069,977,854,706,707
859,3148,3200,3098,3499,3446,3033,2241,2272,2417,1464,1523,2536,2118,1899,1317,1417,554,2618,2024,1963,1915,1696,1350,1144,1149,1162,1049,967,856,774
1409,4058,4195,3629,3211,1171,2835,2165,2189,2371,718,700,2379,2362,1689,697,589,506,2085,1779,1717,1688,1584,1358,1114,1219,1218,1091,953,867,859
1147,3672,3827,3554,3107,2520,2856,2550,2354,2295,1686,368,2155,1982,1447,1261,382,439,2093,1810,1689,1634,1547,1307,1136,1172,1162,990,855,781,784
739,1023,1252,1353,1339,1498,1624,2248,2162,2089,1306,259,1988,1866,1636,936,270,355,1897,1626,1531,1558,1375,1204,1051,1056,1121,926,862,748,692
479,1144,1302,1410,1360,1622,1579,1895,1763,1835,1423,712,1523,1645,1631,1055,571,330,1670,1509,1332,1408,1316,1173,979,994,1068,830,830,661,633
149,732,684,1012,1124,1197,1378,1563,1436,1664,1162,556,1417,1448,1429,964,417,427,1775,1681,1455,1534,1617,1412,1088,1093,1182,935,914,689,652
203,568,656,931,1033,1170,1426,1557,1585,1383,1211,590,1644,1589,1302,920,483,457,2240,2063,1916,1904,1693,1497,1275,1372,1427,1227,1049,1018,995
184,1002,1103,1213,1400,1391,1771,1942,2024,1316,1026,555,2197,2121,1354,936,478,386,1872,1652,1623,1580,1401,1235,1086,1180,1210,1000,879,879,882
115,482,635,822,911,983,1307,1802,1674,1553,1006,560,1841,1859,1454,866,520,337,1698,1402,1337,1261,1095,919,807,838,863,705,694,651,668
167,1115,1108,1697,1783,1891,2036,1709,1756,1783,1103,466,1922,1871,1584,1063,390,351,1694,1387,1239,1216,1091,916,782,783,832,789,725,653,631
240,552,745,849,980,1058,1484,1951,1926,1445,1242,542,2235,2090,1356,1254,452,732,3338,3147,2853,3112,3117,2742,2051,2113,2197,1809,1527,1383,1170
302,2215,1799,2846,3260,3254,3307,2452,2550,1656,1116,771,2987,3142,1674,910,770,678,3054,2972,2868,2869,2923,2625,2200,2140,2234,1904,1685,1423,1304
300,1756,1131,2517,2921,2955,2946,2344,2398,2033,1014,815,2481,2661,2050,813,789,574,2399,2365,2344,2428,2411,2234,1910,1958,1985,1760,1544,1370,1173
345,1526,2096,1723,1526,1827,2486,2208,2251,3113,1395,394,2085,2010,2283,1150,364,356,1949,1908,1885,1983,2046,1898,1725,1770,1794,1633,1504,1300,1250
249,1238,1490,1817,1840,2114,2461,2355,2426,2717,1861,545,1997,1808,1644,1699,419,949,4068,3310,2736,2454,2358,1816,1208,1187,1078,1023,852,788,667
458,535,866,1059,1237,1453,2389,3845,3977,2531,1817,1002,4823,5086,1208,1310,696,880,3537,2913,2521,2325,2409,2035,1455,1274,1189,972,853,715,668
257,670,844,1193,1318,1468,1988,3142,3241,2499,1545,1586,4077,4148,1039,768,1147,894,3143,2904,2720,2363,2334,1977,1420,1438,1242,1061,1006,838,748
300,468,638,1042,1159,1504,2532,2147,2178,3190,1694,718,2922,3072,4052,545,470,711,2791,2557,2403,2245,2155,1951,1403,1415,1328,1151,1049,882,810
321,458,642,1099,1266,1422,1559,1883,1687,2225,1856,567,2056,2204,2859,495,263,526,1388,855,764,670,731,885,827,898,1037,1361,1443,913,795
235,398,722,1374,1496,1949,3632,5147,5540,1267,2005,821,4899,4248,1838,2666,265,362,1581,894,821,714,705,840,790,880,916,1187,1282,1277,1144
300,495,725,1167,1241,1362,1694,4029,4710,909,1024,1082,4068,3658,1151,1406,299,321,1311,914,752,668,747,781,688,758,846,1004,1035,934,875
333,479,593,1560,2085,2646,4174,2918,3213,770,523,801,2918,2739,2596,802,945,337,1495,1012,845,719,850,835,728,760,844,982,925,906,781
374,649,821,1349,1451,1578,2538,2150,2882,3567,395,293,2695,2373,2049,515,389,343,1318,1111,953,880,1047,930,770,720,719,878,834,755,698
512,787,823,2330,2943,3655,4374,1448,3815,2196,424,106,2107,588,1344,277,184,153,782,881,1017,1254,1829,2103,1864,2000,2140,2522,2567,2186,1919
232,596,707,1138,1411,1939,2827,4620,3692,1526,1771,120,802,582,1180,958,96,126,843,905,962,1122,1668,1779,1672,1833,1951,2311,2230,1953,1692
286,914,1070,2900,3417,3759,3182,3431,2854,834,798,188,664,560,355,627,38,144,931,928,918,1090,1458,1560,1352,1508,1655,1928,1905,1652,1491
164,679,875,1272,2015,2404,2263,2710,2267,2138,570,541,630,556,350,545,347,195,1085,919,888,1103,1380,1202,1048,1213,1298,1510,1610,1331,1139
369,1115,1298,3914,3441,3117,2344,1992,1474,1430,261,193,887,802,448,518,260,374,1821,1697,1693,1675,2276,2067,1506,1494,1340,1541,1509,1266,1018
269,943,1096,2698,2791,2462,2028,1948,1349,989,929,85,773,708,539,298,197,375,1735,1638,1636,1738,2205,2006,1437,1475,1350,1633,1575,1303,1115
461,1157,1332,2650,1872,2108,1444,1781,1311,676,648,53,737,705,734,425,178,375,1848,1637,1581,1704,2075,1993,1348,1384,1319,1528,1518,1245,1033
411,995,1062,2855,2049,1942,1482,1575,1085,540,387,305,1041,989,761,490,206,446,2127,1824,1786,1869,2244,2039,1424,1474,1448,1633,1508,1290,1114
536,1560,1906,1324,1192,1294,428,1503,1184,532,340,196,1676,1439,729,697,255,203,790,648,518,529,567,495,332,342,354,437,400,329,297
486,1210,1358,1546,1352,1064,527,203,167,651,317,175,603,613,1021,525,336,285,1558,832,754,751,1232,889,514,497,513,687,597,488,418
1442,2641,3507,1559,2312,1991,1024,854,669,967,400,237,1542,1549,1610,583,396,474,1749,1407,1164,1138,1455,1219,834,825,802,980,949,735,627
574,1036,1330,1221,1299,1199,724,1036,699,350,532,137,1423,1465,536,817,283,407,1619,1210,1127,1154,1403,1223,878,878,899,1028,949,805,723
2465,4434,5283,1986,2587,1987,476,1098,927,662,845,262,1093,1151,922,1229,344,522,2723,2028,1869,1874,1791,1490,1165,1264,1400,1325,1264,1066,1005
1313,2095,2961,1330,1703,1482,728,848,834,926,285,391,2411,2323,1382,343,501,553,2532,2110,1667,1852,1678,1458,1144,1162,1254,1208,1311,972,864
2107,4822,4352,1837,1642,1132,393,834,815,960,439,586,2165,2149,917,500,749,530,2544,1864,1808,1887,1860,1612,1275,1297,1385,1441,1246,1117,1015
1138,2686,2730,1036,981,967,451,803,1038,870,647,158,1934,1973,1691,756,207,498,2023,1715,1530,1627,1741,1555,1258,1339,1436,1396,1286,1067,976
1318,3243,2601,2046,1606,689,687,556,827,667,795,202,1463,1509,1459,740,175,503,1479,1409,1535,1672,1712,1579,1474,1678,1843,1760,1477,1377,1395
1251,2731,2579,1391,1243,824,632,852,1003,735,678,355,1192,1206,1353,1056,292,326,1655,1484,1551,1657,1636,1578,1456,1425,1632,1512,1420,1361,1261
1037,2295,1921,2196,1214,514,713,1196,1244,664,471,379,1345,1399,1257,857,334,300,1754,1493,1606,1710,1743,1577,1403,1528,1631,1566,1404,1233,1148
750,1896,1753,1294,1092,661,754,1035,1094,1117,475,382,1344,1334,1117,919,555,399,1931,1642,1793,1913,1876,1652,1356,1579,1690,1694,1464,1220,1171
1045,1855,1749,1800,779,726,954,1086,1180,1163,559,283,1550,1484,1154,799,480,439,2754,2559,2784,3015,3061,2961,2644,2763,2863,2827,2595,2297,2101
867,1885,1492,1416,837,585,924,1225,1364,1155,687,259,1372,1517,1229,972,480,490,2432,2305,2436,2672,2679,2511,2327,2459,2710,2523,2409,2015,2014
713,1653,1782,1110,821,774,1004,1281,1396,1114,809,331,1261,1398,1298,876,446,442,2379,2213,2388,2638,2566,2330,2032,2331,2383,2423,2116,1903,1628
689,1433,1288,1014,518,555,1021,1289,1515,1297,811,390,1385,1389,1417,976,552,474,2544,2244,2256,2403,2585,2326,1965,2044,2111,2147,1925,1706,1558
558,1435,1809,439,587,780,1019,1286,1466,1266,787,415,1413,1615,1355,1113,461,486,2870,2294,2390,2513,2645,2399,1956,1923,2008,2085,1882,1544,1482
692,1055,1308,591,392,553,1039,1498,1768,1273,898,506,1730,1988,1507,1299,658,890,3812,3603,3675,3840,4062,3884,3207,3291,3237,3277,3001,2544,2374
724,1985,2048,501,527,731,1325,1055,1118,1267,876,531,2185,2375,1759,1001,776,720,3312,3144,3375,3402,3659,3365,2888,2957,2889,2810,2581,2200,2156
354,1027,1188,446,418,694,1110,1066,1087,1439,932,560,2074,2221,2116,1225,895,693,3067,2874,2840,2956,3214,2964,2338,2382,2425,2445,2121,1932,1721
236,2268,2106,408,615,760,1490,1092,1315,1394,1006,448,2127,2160,1905,1559,490,626,2979,2663,2678,2657,2723,2624,2044,2132,2172,2125,2049,1735,1430
576,1272,1244,241,451,752,1364,1155,1380,1356,1171,567,2432,2436,1853,1769,715,1094,5508,4668,4715,4780,4962,4242,3267,3288,3266,3341,3053,2554,2162
